cleaned_text,sentimen,text_without_stopwords,test_nltk,tokens
sebuah masyarakat yang terusmenerus mengabaikan kekerasan yang dilakukan oleh laki laki dan mengabaikan teriakan minta tolong perempuan miripmirip lah sama di sini kalau perempuan lapor kdrt diabaikan disuruh pulang coba selesaikan secara kekeluargaan,negatif,sebuah masyarakat terusmenerus mengabaikan kekerasan dilakukan laki laki mengabaikan teriakan minta perempuan miripmirip lah sama sini perempuan lapor kdrt diabaikan disuruh pulang coba selesaikan kekeluargaan,masyarakat terusmenerus mengabaikan kekerasan laki laki mengabaikan teriakan tolong perempuan miripmirip perempuan lapor kdrt diabaikan disuruh pulang coba selesaikan kekeluargaan,"['sebuah', 'masyarakat', 'terusmenerus', 'mengabaikan', 'kekerasan', 'dilakukan', 'laki', 'laki', 'mengabaikan', 'teriakan', 'minta', 'perempuan', 'miripmirip', 'lah', 'sama', 'sini', 'perempuan', 'lapor', 'kdrt', 'diabaikan', 'disuruh', 'pulang', 'coba', 'selesaikan', 'kekeluargaan']"
saya ingin memukul kepala bapaknya tolong laporkan ke polisi pelaku kdrt jangan mau kalah dengan keluarga dajjal itu,negatif,ingin memukul kepala bapaknya laporkan polisi pelaku kdrt jangan mau kalah keluarga dajjal,memukul kepala bapaknya tolong laporkan polisi pelaku kdrt kalah keluarga dajjal,"['ingin', 'memukul', 'kepala', 'bapaknya', 'laporkan', 'polisi', 'pelaku', 'kdrt', 'jangan', 'mau', 'kalah', 'keluarga', 'dajjal']"
sudah kdrt selingkuh sangat buruk bapak kamu kak sumpah laporkan polisi saja kak agar dia dipenjara terus selingkuhannya laporkan agar hancur sekalian jangan mau kamu doang yang hancur kak,negatif,kdrt selingkuh sangat buruk bapak kak sumpah laporkan polisi kak dipenjara terus selingkuhannya laporkan hancur sekalian jangan mau doang hancur kak,kdrt selingkuh buruk kak sumpah laporkan polisi kak dipenjara selingkuhannya laporkan hancur doang hancur kak,"['kdrt', 'selingkuh', 'sangat', 'buruk', 'bapak', 'kak', 'sumpah', 'laporkan', 'polisi', 'kak', 'dipenjara', 'terus', 'selingkuhannya', 'laporkan', 'hancur', 'sekalian', 'jangan', 'mau', 'doang', 'hancur', 'kak']"
dasar bodoh emosi saya sudah nikah kah kau apa sudah pernah cerai ku beritahu ya cerai itu susah aslinya mamak ku sudah lapor atas kdrt pun masih disuruh mediasi sampai dihipnoterapi mamak ku efeknya apa mamak ku tidak bisa sedih hilang dia rasa empati,negatif,dasar bodoh emosi nikah kau apa pernah cerai ku beritahu cerai susah aslinya mamak ku lapor atas kdrt disuruh mediasi dihipnoterapi mamak ku efeknya apa mamak ku sedih hilang rasa empati,dasar bodoh emosi nikah kah kau cerai ku beritahu cerai susah aslinya mamak ku lapor kdrt disuruh mediasi dihipnoterapi mamak ku efeknya mamak ku sedih hilang empati,"['dasar', 'bodoh', 'emosi', 'nikah', 'kau', 'apa', 'pernah', 'cerai', 'ku', 'beritahu', 'cerai', 'susah', 'aslinya', 'mamak', 'ku', 'lapor', 'atas', 'kdrt', 'disuruh', 'mediasi', 'dihipnoterapi', 'mamak', 'ku', 'efeknya', 'apa', 'mamak', 'ku', 'sedih', 'hilang', 'rasa', 'empati']"
halah negara saja belum bisa kasih kepastian keamanan buat perempuan sok sok menyuruh banyakin perempuan itu masih ada korban kdrt yang lapor polisi malah dibiarkan,negatif,halah negara kasih kepastian keamanan buat perempuan sok sok menyuruh banyakin perempuan korban kdrt lapor polisi dibiarkan,halah negara kasih kepastian keamanan perempuan sok sok menyuruh banyakin perempuan korban kdrt lapor polisi dibiarkan,"['halah', 'negara', 'kasih', 'kepastian', 'keamanan', 'buat', 'perempuan', 'sok', 'sok', 'menyuruh', 'banyakin', 'perempuan', 'korban', 'kdrt', 'lapor', 'polisi', 'dibiarkan']"
nanti saya yang kdrt kamu bagian yang lapor satpol pp ugh ini dia yang saya tunggu tunggu indahnya kehidupan kriminal kita,negatif,kdrt bagian lapor satpol pp ugh tunggu tunggu indahnya kehidupan kriminal,kdrt lapor satpol pp ugh tunggu tunggu indahnya kehidupan kriminal,"['kdrt', 'bagian', 'lapor', 'satpol', 'pp', 'ugh', 'tunggu', 'tunggu', 'indahnya', 'kehidupan', 'kriminal']"
lahkemarin tempo hari ada istri korban kekerasan kdrt lapor ketakutan mau dibunuh suaminya malah disuruh pulang mediasi dan damai saja besok paginya sudah meninggal,negatif,lahkemarin tempo hari istri korban kekerasan kdrt lapor ketakutan mau dibunuh suaminya disuruh pulang mediasi damai besok paginya meninggal,lahkemarin tempo istri korban kekerasan kdrt lapor ketakutan dibunuh suaminya disuruh pulang mediasi damai besok paginya meninggal,"['lahkemarin', 'tempo', 'hari', 'istri', 'korban', 'kekerasan', 'kdrt', 'lapor', 'ketakutan', 'mau', 'dibunuh', 'suaminya', 'disuruh', 'pulang', 'mediasi', 'damai', 'besok', 'paginya', 'meninggal']"
berita yang dulu lapor kdrt ke polisi malah hilang nyawa,negatif,berita dulu lapor kdrt polisi hilang nyawa,berita lapor kdrt polisi hilang nyawa,"['berita', 'dulu', 'lapor', 'kdrt', 'polisi', 'hilang', 'nyawa']"
menurutku kalau dia merasa kdrt memang sebaiknya lapor ke polisi bukan ke media sosial,positif,menurutku merasa kdrt sebaiknya lapor polisi bukan media sosial,menurutku kdrt lapor polisi media sosial,"['menurutku', 'merasa', 'kdrt', 'sebaiknya', 'lapor', 'polisi', 'bukan', 'media', 'sosial']"
lapor kdrt saja disuruh rujuk karena malas menangani apalagi perintah penahanan,negatif,lapor kdrt disuruh rujuk malas menangani perintah penahanan,lapor kdrt disuruh rujuk malas menangani perintah penahanan,"['lapor', 'kdrt', 'disuruh', 'rujuk', 'malas', 'menangani', 'perintah', 'penahanan']"
semua sama saja kerja nya cuma tidur dibayar sama negara ada warga nya kena kdrt lapor ke kapolda saja tidak ditanggapi sampai orang telanjur mati,negatif,sama kerja nya cuma tidur dibayar sama negara warga nya kena kdrt lapor kapolda ditanggapi orang telanjur mati,kerja nya tidur dibayar negara warga nya kena kdrt lapor kapolda ditanggapi orang telanjur mati,"['sama', 'kerja', 'nya', 'cuma', 'tidur', 'dibayar', 'sama', 'negara', 'warga', 'nya', 'kena', 'kdrt', 'lapor', 'kapolda', 'ditanggapi', 'orang', 'telanjur', 'mati']"
kamu dulu ada kasus kdrt korban keluarga sama tetangga pada lapor ke polisi tetapi tidak ada tindakan apapun sampai korbannya dibunuh tidak usah omong teori,negatif,dulu kasus kdrt korban keluarga sama tetangga lapor polisi tindakan apapun korbannya dibunuh usah omong teori,kdrt korban keluarga tetangga lapor polisi tindakan apapun korbannya dibunuh omong teori,"['dulu', 'kasus', 'kdrt', 'korban', 'keluarga', 'sama', 'tetangga', 'lapor', 'polisi', 'tindakan', 'apapun', 'korbannya', 'dibunuh', 'usah', 'omong', 'teori']"
saya banyak baca cerita curhat orang bahkan orang di kehidupan ku sendiri mereka lapor polisi cuman diketawai bahkan yang kdrt diabaikan memang harus viral dulu baru diproses,negatif,banyak baca cerita curhat orang orang kehidupan ku sendiri lapor polisi cuman diketawai kdrt diabaikan viral dulu baru diproses,baca cerita curhat orang orang kehidupan ku lapor polisi cuman diketawai kdrt diabaikan viral diproses,"['banyak', 'baca', 'cerita', 'curhat', 'orang', 'orang', 'kehidupan', 'ku', 'sendiri', 'lapor', 'polisi', 'cuman', 'diketawai', 'kdrt', 'diabaikan', 'viral', 'dulu', 'baru', 'diproses']"
saya korban kdrt takut lapor takut dikatai dan diabaikan lah ini korban pembunuhan saja diabaikan,negatif,korban kdrt takut lapor takut dikatai diabaikan lah korban pembunuhan diabaikan,korban kdrt takut lapor takut dikatai diabaikan korban pembunuhan diabaikan,"['korban', 'kdrt', 'takut', 'lapor', 'takut', 'dikatai', 'diabaikan', 'lah', 'korban', 'pembunuhan', 'diabaikan']"
tetangga saya ada yang kdrt seperti ini di depan saya sang istri disambit pakai pisau dapur kena punggungnya untungnya pakai baju tebal jadi tidak luka coba kalau kena muka saya tidak bisa berbuat banyak karena kejadiannya di halaman rumah dia sendiri paling cuma bisa lapor rumah tangga,negatif,tetangga ada kdrt depan sang istri disambit pakai pisau dapur kena punggungnya untungnya pakai baju tebal luka coba kena muka berbuat banyak kejadiannya halaman rumah sendiri paling cuma lapor rumah tangga,tetangga kdrt sang istri disambit pakai pisau dapur kena punggungnya untungnya pakai baju tebal luka coba kena muka berbuat kejadiannya halaman rumah lapor rumah tangga,"['tetangga', 'ada', 'kdrt', 'depan', 'sang', 'istri', 'disambit', 'pakai', 'pisau', 'dapur', 'kena', 'punggungnya', 'untungnya', 'pakai', 'baju', 'tebal', 'luka', 'coba', 'kena', 'muka', 'berbuat', 'banyak', 'kejadiannya', 'halaman', 'rumah', 'sendiri', 'paling', 'cuma', 'lapor', 'rumah', 'tangga']"
bukan urusan pribadi lagi kalau sudah ada kdrt apalagi sudah kelihatan bawa sajam memang harus lapor untung banget tetangga kamu diselamatkan salut sama bapakmu kak,positif,bukan urusan pribadi ada kdrt kelihatan bawa sajam lapor untung banget tetangga diselamatkan salut sama bapakmu kak,urusan pribadi kdrt bawa sajam lapor untung banget tetangga diselamatkan salut bapakmu kak,"['bukan', 'urusan', 'pribadi', 'ada', 'kdrt', 'kelihatan', 'bawa', 'sajam', 'lapor', 'untung', 'banget', 'tetangga', 'diselamatkan', 'salut', 'sama', 'bapakmu', 'kak']"
kalau masalah kdrt sama selingkuh itu harus lapor orang tua tidak boleh diam dipendam sendiri,positif,masalah kdrt sama selingkuh lapor orang tua boleh diam dipendam sendiri,kdrt selingkuh lapor orang tua diam dipendam,"['masalah', 'kdrt', 'sama', 'selingkuh', 'lapor', 'orang', 'tua', 'boleh', 'diam', 'dipendam', 'sendiri']"
halah alibi saja itu alibi agar citra anaknya tetap baik sehingga dibuat seolah olah semua itu hanya urusan rumah tangga cih lapor saja suruh kakakmu terus melapor karena jika sudah sampai pada tahap kdrt itu memang sudah tidak bisa ditolerir,negatif,halah alibi alibi citra anaknya tetap baik dibuat olah urusan rumah tangga cih lapor suruh kakakmu terus melapor jika tahap kdrt ditolerir,halah alibi alibi citra anaknya olah urusan rumah tangga cih lapor suruh kakakmu melapor tahap kdrt ditolerir,"['halah', 'alibi', 'alibi', 'citra', 'anaknya', 'tetap', 'baik', 'dibuat', 'olah', 'urusan', 'rumah', 'tangga', 'cih', 'lapor', 'suruh', 'kakakmu', 'terus', 'melapor', 'jika', 'tahap', 'kdrt', 'ditolerir']"
mertua anjing itu anak orang bisa mati terkena kdrt malah disuruh simpan berdua sama suami lapor polisi sekalian jangan ke orang tua kamu doang agar tahu rasa tuh keluarga,negatif,mertua anjing anak orang mati terkena kdrt disuruh simpan berdua sama suami lapor polisi sekalian jangan orang tua doang tahu rasa tuh keluarga,mertua anjing anak orang mati terkena kdrt disuruh simpan berdua suami lapor polisi orang tua doang tuh keluarga,"['mertua', 'anjing', 'anak', 'orang', 'mati', 'terkena', 'kdrt', 'disuruh', 'simpan', 'berdua', 'sama', 'suami', 'lapor', 'polisi', 'sekalian', 'jangan', 'orang', 'tua', 'doang', 'tahu', 'rasa', 'tuh', 'keluarga']"
kdrt itu bukan aib itu telanjurkan yang bisa membuat nyawa melayang wajib lapor ke pihak berwajib sakit parah sih mertuanya kalau sampai meninggal terus istrinya mau disimpan di rumah karena aib gila kok mendarah daging,negatif,kdrt bukan aib telanjurkan membuat nyawa melayang wajib lapor pihak berwajib sakit parah sih mertuanya meninggal terus istrinya mau disimpan rumah aib gila kok mendarah daging,kdrt aib telanjurkan nyawa melayang wajib lapor berwajib sakit parah sih mertuanya meninggal istrinya disimpan rumah aib gila mendarah daging,"['kdrt', 'bukan', 'aib', 'telanjurkan', 'membuat', 'nyawa', 'melayang', 'wajib', 'lapor', 'pihak', 'berwajib', 'sakit', 'parah', 'sih', 'mertuanya', 'meninggal', 'terus', 'istrinya', 'mau', 'disimpan', 'rumah', 'aib', 'gila', 'kok', 'mendarah', 'daging']"
lapor polisi pun akan disuruh selesaikan secara kekeluargaan dulu yang seserius kdrt saja disuruh begitu,negatif,lapor polisi disuruh selesaikan kekeluargaan dulu seserius kdrt disuruh,lapor polisi disuruh selesaikan kekeluargaan seserius kdrt disuruh,"['lapor', 'polisi', 'disuruh', 'selesaikan', 'kekeluargaan', 'dulu', 'seserius', 'kdrt', 'disuruh']"
bicara yang tidak benar kekerasan dalam rumah tangga harus dilaporkan ke polisi dasar tolol orang tua juga tidak benar membiarkan itu terjadi korban memiliki hak,negatif,bicara benar kekerasan rumah tangga dilaporkan polisi dasar tolol orang tua benar membiarkan terjadi korban memiliki hak,bicara kekerasan rumah tangga dilaporkan polisi dasar tolol orang tua membiarkan korban memiliki hak,"['bicara', 'benar', 'kekerasan', 'rumah', 'tangga', 'dilaporkan', 'polisi', 'dasar', 'tolol', 'orang', 'tua', 'benar', 'membiarkan', 'terjadi', 'korban', 'memiliki', 'hak']"
mertuanya sakit jiwa itu menikah bukan untuk menjadi tempat pelampiasan kalau lagi kesal kalau sudah menyerang fisik ya sudah lapor kalau masalah biasa mah tidak apa apa tetapi kalau sudah kekerasan dalam rumah tangga ya berbeda masa nanti kalau ada cedera harus diam diam saja,negatif,mertuanya sakit jiwa menikah bukan menjadi tempat pelampiasan kesal menyerang fisik lapor masalah biasa apa apa kekerasan rumah tangga berbeda masa cedera diam diam,mertuanya sakit jiwa menikah pelampiasan kesal menyerang fisik lapor kekerasan rumah tangga berbeda cedera diam diam,"['mertuanya', 'sakit', 'jiwa', 'menikah', 'bukan', 'menjadi', 'tempat', 'pelampiasan', 'kesal', 'menyerang', 'fisik', 'lapor', 'masalah', 'biasa', 'apa', 'apa', 'kekerasan', 'rumah', 'tangga', 'berbeda', 'masa', 'cedera', 'diam', 'diam']"
gila mertuanya kalau masalahnya tentang ribut biasa mah oke lah untuk disimpan berdua saja kalau kdrt lalu tante kamu ada apa apa memangnya mereka mau tanggung jawab ini mah seharusnya bukan cuma dilapor ke mama papamu tetapi ke pihak berwajib juga harus lapor agar jera,negatif,gila mertuanya masalahnya ribut biasa oke lah disimpan berdua kdrt lalu tante apa apa memangnya mau tanggung jawab bukan cuma dilapor mama papamu pihak berwajib lapor jera,gila mertuanya ribut oke disimpan berdua kdrt tante memangnya tanggung dilapor mama papamu berwajib lapor jera,"['gila', 'mertuanya', 'masalahnya', 'ribut', 'biasa', 'oke', 'lah', 'disimpan', 'berdua', 'kdrt', 'lalu', 'tante', 'apa', 'apa', 'memangnya', 'mau', 'tanggung', 'jawab', 'bukan', 'cuma', 'dilapor', 'mama', 'papamu', 'pihak', 'berwajib', 'lapor', 'jera']"
tidak usah sebarsebar telanjur malu sebarsebar tetapi masih milih hidup bersama kan tolol jadinya,negatif,usah sebarsebar telanjur malu sebarsebar milih hidup bersama kan tolol jadinya,sebarsebar telanjur malu sebarsebar milih hidup tolol,"['usah', 'sebarsebar', 'telanjur', 'malu', 'sebarsebar', 'milih', 'hidup', 'bersama', 'kan', 'tolol', 'jadinya']"
ya kalau terkena kdrt mah wajib lapor anjir,negatif,terkena kdrt wajib lapor,terkena kdrt wajib lapor,"['terkena', 'kdrt', 'wajib', 'lapor']"
kekerasan dalam rumah tangga bukanlah aib melainkan tindak kriminal segera ajak tetehnya pulang lalu bawa ke rumah sakit untuk visum dan lapor ke pihak berwajib agar mendapat perlindungan dan keadilan,positif,kekerasan rumah tangga bukanlah aib tindak kriminal segera ajak tetehnya pulang lalu bawa rumah sakit visum lapor pihak berwajib mendapat perlindungan keadilan,kekerasan rumah tangga aib tindak kriminal ajak tetehnya pulang bawa rumah sakit visum lapor berwajib perlindungan keadilan,"['kekerasan', 'rumah', 'tangga', 'bukanlah', 'aib', 'tindak', 'kriminal', 'segera', 'ajak', 'tetehnya', 'pulang', 'lalu', 'bawa', 'rumah', 'sakit', 'visum', 'lapor', 'pihak', 'berwajib', 'mendapat', 'perlindungan', 'keadilan']"
semoga semuanya membaik juga untuk kamu ya memang soal kekerasan dalam rumah tangga masih sering dianggap tabu dan disepelekan padahal ini hal serius yang perlu ditangani dengan empati dan keberanian,positif,semoga semuanya membaik soal kekerasan rumah tangga sering dianggap tabu disepelekan padahal hal serius perlu ditangani empati keberanian,semoga membaik kekerasan rumah tangga dianggap tabu disepelekan serius ditangani empati keberanian,"['semoga', 'semuanya', 'membaik', 'soal', 'kekerasan', 'rumah', 'tangga', 'sering', 'dianggap', 'tabu', 'disepelekan', 'padahal', 'hal', 'serius', 'perlu', 'ditangani', 'empati', 'keberanian']"
jadi teringat saat saya isolasi mandiri karena covid di aparteman sendirian saya mendengar dengan sangat jelas tetangga di atas mengalami kekerasan dalam rumah tangga terdengar teriakan minta ampun dan suara barang barang dilempar dengan sangat keras saya sangat takut lalu melapor kepada petugas keamanan dan ternyata saat didatangi perempuan tersebut sudah dalam keadaan luka luka dan lebam,negatif,teringat isolasi mandiri covid aparteman sendirian mendengar sangat jelas tetangga atas mengalami kekerasan rumah tangga terdengar teriakan minta ampun suara barang barang dilempar sangat keras sangat takut lalu melapor petugas keamanan ternyata didatangi perempuan tersebut keadaan luka luka lebam,isolasi mandiri covid aparteman mendengar tetangga mengalami kekerasan rumah tangga terdengar teriakan ampun suara barang barang dilempar keras takut melapor petugas keamanan didatangi perempuan luka luka lebam,"['teringat', 'isolasi', 'mandiri', 'covid', 'aparteman', 'sendirian', 'mendengar', 'sangat', 'jelas', 'tetangga', 'atas', 'mengalami', 'kekerasan', 'rumah', 'tangga', 'terdengar', 'teriakan', 'minta', 'ampun', 'suara', 'barang', 'barang', 'dilempar', 'sangat', 'keras', 'sangat', 'takut', 'lalu', 'melapor', 'petugas', 'keamanan', 'ternyata', 'didatangi', 'perempuan', 'tersebut', 'keadaan', 'luka', 'luka', 'lebam']"
coba lapor ke komnas perempuan kak kasihan teman kakak kalau bertahan sama suaminya kdrt pula,negatif,coba lapor komnas perempuan kak kasihan teman kakak bertahan sama suaminya kdrt,coba lapor komnas perempuan kak kasihan teman kakak bertahan suaminya kdrt,"['coba', 'lapor', 'komnas', 'perempuan', 'kak', 'kasihan', 'teman', 'kakak', 'bertahan', 'sama', 'suaminya', 'kdrt']"
tiba tiba ditanyai pasien mba bisa visum bisa bu tetapi harus lapor ke polisi dulu soalnya ini habis mengalami kekerasan dalam rumah tangga seketika badan langsung lemas dingin melihat ibunya matanya sudah bengkak,negatif,tiba tiba ditanyai pasien mba visum bu lapor polisi dulu soalnya habis mengalami kekerasan rumah tangga seketika badan langsung lemas dingin melihat ibunya matanya bengkak,pasien mba visum bu lapor polisi habis mengalami kekerasan rumah tangga badan langsung lemas dingin ibunya matanya bengkak,"['tiba', 'tiba', 'ditanyai', 'pasien', 'mba', 'visum', 'bu', 'lapor', 'polisi', 'dulu', 'soalnya', 'habis', 'mengalami', 'kekerasan', 'rumah', 'tangga', 'seketika', 'badan', 'langsung', 'lemas', 'dingin', 'melihat', 'ibunya', 'matanya', 'bengkak']"
sangat menjijikkan mendengar suara mereka persis seperti perempuan yang ketika mengalami kekerasan dalam rumah tangga justru diam tidak mau melapor karena takut membuka aib hanya bisa membenarkan tindakan suaminya yang memukul sampai akhirnya meninggal dunia,negatif,sangat menjijikkan mendengar suara persis perempuan mengalami kekerasan rumah tangga justru diam mau melapor takut membuka aib membenarkan tindakan suaminya memukul akhirnya meninggal dunia,menjijikkan mendengar suara persis perempuan mengalami kekerasan rumah tangga diam melapor takut membuka aib membenarkan tindakan suaminya memukul meninggal dunia,"['sangat', 'menjijikkan', 'mendengar', 'suara', 'persis', 'perempuan', 'mengalami', 'kekerasan', 'rumah', 'tangga', 'justru', 'diam', 'mau', 'melapor', 'takut', 'membuka', 'aib', 'membenarkan', 'tindakan', 'suaminya', 'memukul', 'akhirnya', 'meninggal', 'dunia']"
ternyata masih ada laki laki seperti ini seperti suami teman saya sudah tidak memberi nafkah melakukan kekerasan dalam rumah tangga ketika dicerai tidak terima malah melapor ke lembaga swadaya masyarakat menyebarkan isu bahwa istrinya selingkuh dan bersikeras agar istrinya dipecat dari aparatur sipil negara,negatif,ternyata ada laki laki suami teman memberi nafkah melakukan kekerasan rumah tangga dicerai terima melapor lembaga swadaya masyarakat menyebarkan isu istrinya selingkuh bersikeras istrinya dipecat aparatur sipil negara,laki laki suami teman nafkah kekerasan rumah tangga dicerai terima melapor lembaga swadaya masyarakat menyebarkan isu istrinya selingkuh bersikeras istrinya dipecat aparatur sipil negara,"['ternyata', 'ada', 'laki', 'laki', 'suami', 'teman', 'memberi', 'nafkah', 'melakukan', 'kekerasan', 'rumah', 'tangga', 'dicerai', 'terima', 'melapor', 'lembaga', 'swadaya', 'masyarakat', 'menyebarkan', 'isu', 'istrinya', 'selingkuh', 'bersikeras', 'istrinya', 'dipecat', 'aparatur', 'sipil', 'negara']"
ternyata starfess ada juga ya bagus bagus soalnya saya pernah melihat langsung penghuni kost saya menjadi korban kekerasan dalam pacaran bukan karena perselingkuhan siangnya sudah membulatkan tekad bersama rekan kantor untuk melapor ke polisi malamnya malah orang tua laki lakinya memohon mohon agar kembali lagi memang parah perempuan dijadikan seperti terapis,negatif,ternyata starfess bagus bagus soalnya pernah melihat langsung penghuni kost menjadi korban kekerasan pacaran bukan perselingkuhan siangnya membulatkan tekad bersama rekan kantor melapor polisi malamnya orang tua laki lakinya memohon mohon kembali parah perempuan dijadikan terapis,starfess bagus bagus langsung penghuni kost korban kekerasan pacaran perselingkuhan siangnya membulatkan tekad rekan kantor melapor polisi malamnya orang tua laki lakinya memohon mohon parah perempuan dijadikan terapis,"['ternyata', 'starfess', 'bagus', 'bagus', 'soalnya', 'pernah', 'melihat', 'langsung', 'penghuni', 'kost', 'menjadi', 'korban', 'kekerasan', 'pacaran', 'bukan', 'perselingkuhan', 'siangnya', 'membulatkan', 'tekad', 'bersama', 'rekan', 'kantor', 'melapor', 'polisi', 'malamnya', 'orang', 'tua', 'laki', 'lakinya', 'memohon', 'mohon', 'kembali', 'parah', 'perempuan', 'dijadikan', 'terapis']"
kekerasan dalam rumah tangga masih bisa dilaporkan masih bisa dibalas masih banyak solusi tetapi jika sudah berselingkuh itu sudah sangat tidak pantas terkesan kampungan dan benar benar tidak ada solusinya,negatif,kekerasan rumah tangga dilaporkan dibalas banyak solusi jika berselingkuh sangat pantas terkesan kampungan benar benar ada solusinya,kekerasan rumah tangga dilaporkan dibalas solusi berselingkuh terkesan kampungan solusinya,"['kekerasan', 'rumah', 'tangga', 'dilaporkan', 'dibalas', 'banyak', 'solusi', 'jika', 'berselingkuh', 'sangat', 'pantas', 'terkesan', 'kampungan', 'benar', 'benar', 'ada', 'solusinya']"
ini sudah termasuk kdrt perempuan memang aneh sudah kdrt bukannya lapor,negatif,termasuk kdrt perempuan aneh kdrt bukannya lapor,kdrt perempuan aneh kdrt lapor,"['termasuk', 'kdrt', 'perempuan', 'aneh', 'kdrt', 'bukannya', 'lapor']"
apa memang sengaja didiamkan kah kasus kdrt yang melibatkan anggota kalian ini minggu lapor tetapi tidak ada tindak lanjut,negatif,apa sengaja didiamkan kasus kdrt melibatkan anggota kalian minggu lapor tindak lanjut,sengaja didiamkan kah kdrt melibatkan anggota minggu lapor tindak,"['apa', 'sengaja', 'didiamkan', 'kasus', 'kdrt', 'melibatkan', 'anggota', 'kalian', 'minggu', 'lapor', 'tindak', 'lanjut']"
orang lapor terkena kdrt saja tidak digubris sampai orangnya meninggal dulu baru diproses laporannya,negatif,orang lapor terkena kdrt digubris orangnya meninggal dulu baru diproses laporannya,orang lapor terkena kdrt digubris orangnya meninggal diproses laporannya,"['orang', 'lapor', 'terkena', 'kdrt', 'digubris', 'orangnya', 'meninggal', 'dulu', 'baru', 'diproses', 'laporannya']"
ada tetanggaku kena kdrt kasih banget bingung mau lapor ke mana,negatif,tetanggaku kena kdrt kasih banget bingung mau lapor mana,tetanggaku kena kdrt kasih banget bingung lapor,"['tetanggaku', 'kena', 'kdrt', 'kasih', 'banget', 'bingung', 'mau', 'lapor', 'mana']"
jangan sampai nyawa sudah melayang baru polisi turun tangan belajar dari kasus kdrt yang pernah terjadi di daerah lain korban sudah lapor tetapi tidak diproses akhirnya nyawa melayang,negatif,jangan nyawa melayang baru polisi turun tangan belajar kasus kdrt pernah terjadi daerah korban lapor diproses akhirnya nyawa melayang,nyawa melayang polisi turun tangan belajar kdrt daerah korban lapor diproses nyawa melayang,"['jangan', 'nyawa', 'melayang', 'baru', 'polisi', 'turun', 'tangan', 'belajar', 'kasus', 'kdrt', 'pernah', 'terjadi', 'daerah', 'korban', 'lapor', 'diproses', 'akhirnya', 'nyawa', 'melayang']"
ini tetangga saya memang sering ribut suaminya keras istrinya juga keras kalau berantem teriak teriak terus suaminya parahnya melakukan kekerasan dalam rumah tangga juga benar benar kemudian tadi istrinya menjadi korban kekerasan dalam rumah tangga dengar dengar istrinya mau kembali ke keluarganya lalu melapor ke polisi dan melakukan visum memang parah sekali suaminya bajingan,negatif,tetangga sering ribut suaminya keras istrinya keras berantem teriak teriak terus suaminya parahnya melakukan kekerasan rumah tangga benar benar kemudian tadi istrinya menjadi korban kekerasan rumah tangga dengar dengar istrinya mau keluarganya lalu melapor polisi melakukan visum parah sekali suaminya bajingan,tetangga ribut suaminya keras istrinya keras berantem teriak teriak suaminya parahnya kekerasan rumah tangga istrinya korban kekerasan rumah tangga dengar dengar istrinya keluarganya melapor polisi visum parah suaminya bajingan,"['tetangga', 'sering', 'ribut', 'suaminya', 'keras', 'istrinya', 'keras', 'berantem', 'teriak', 'teriak', 'terus', 'suaminya', 'parahnya', 'melakukan', 'kekerasan', 'rumah', 'tangga', 'benar', 'benar', 'kemudian', 'tadi', 'istrinya', 'menjadi', 'korban', 'kekerasan', 'rumah', 'tangga', 'dengar', 'dengar', 'istrinya', 'mau', 'keluarganya', 'lalu', 'melapor', 'polisi', 'melakukan', 'visum', 'parah', 'sekali', 'suaminya', 'bajingan']"
sebenarnya dia duluan yang melakukan kekerasan dalam rumah tangga terhadap mantannya dibalas eh malah melapor ke polisi untung hanya bulan belum dinikahi selamat sebentar lagi akan dibuka aibnya lewat tv,negatif,sebenarnya duluan melakukan kekerasan rumah tangga mantannya dibalas eh melapor polisi untung bulan dinikahi selamat sebentar dibuka aibnya lewat tv,duluan kekerasan rumah tangga mantannya dibalas eh melapor polisi untung dinikahi selamat sebentar dibuka aibnya tv,"['sebenarnya', 'duluan', 'melakukan', 'kekerasan', 'rumah', 'tangga', 'mantannya', 'dibalas', 'eh', 'melapor', 'polisi', 'untung', 'bulan', 'dinikahi', 'selamat', 'sebentar', 'dibuka', 'aibnya', 'lewat', 'tv']"
tetanggaku mengalami kekerasan dalam rumah tangga saya dan suamiku panik lalu melapor ke rumah tangga dan akhirnya kami mendatangi rumah tetanggaku eh akhirnya si istri bilang tidak apa apa dan bilang saya tukang ikut campur urusan orang lebaran kemarin kami silaturahmi eh malah diabaikan,negatif,tetanggaku mengalami kekerasan rumah tangga suamiku panik lalu melapor rumah tangga akhirnya mendatangi rumah tetanggaku eh akhirnya si istri bilang apa apa bilang tukang ikut campur urusan orang lebaran kemarin silaturahmi eh diabaikan,tetanggaku mengalami kekerasan rumah tangga suamiku panik melapor rumah tangga rumah tetanggaku eh si istri bilang bilang tukang campur urusan orang lebaran kemarin silaturahmi eh diabaikan,"['tetanggaku', 'mengalami', 'kekerasan', 'rumah', 'tangga', 'suamiku', 'panik', 'lalu', 'melapor', 'rumah', 'tangga', 'akhirnya', 'mendatangi', 'rumah', 'tetanggaku', 'eh', 'akhirnya', 'si', 'istri', 'bilang', 'apa', 'apa', 'bilang', 'tukang', 'ikut', 'campur', 'urusan', 'orang', 'lebaran', 'kemarin', 'silaturahmi', 'eh', 'diabaikan']"
